Day,Month,Hour,Temperature_mean,Temperature_min,Temperature_max,Temperature_std,Pressure_mean,Pressure_min,Pressure_max,Pressure_std,Humidity_mean,Humidity_min,Humidity_max,Humidity_std,WindDirection_mean,WindDirection_min,WindDirection_max,WindDirection_std,Speed_mean,Speed_min,Speed_max,Speed_std,Radiation_mean,SunDurationMinutes_mean,TimeSunRise_first,TimeSunSet_first
24,9,14,59.0,59,59,0.0,30.441666666666666,30.44,30.45,0.0038924947208061893,90.5,89,92,1.0871146130092257,155.84583333333333,3.9,359.4,172.92181588317112,3.8408333333333338,1.12,9.0,2.2237211169705176,135.49666666666667,725.0,6.2,18.283333333333335
13,12,7,42.0,40,43,0.953462589245591,30.30333333333333,30.3,30.31,0.004923659639172226,76.58333333333333,74,82,2.234373344457953,257.1425,234.72,270.0,11.088633922748443,10.870833333333332,5.62,14.62,2.163252846707448,18.26,657.0,6.8,17.75
10,11,15,57.416666666666664,57,58,0.5149286505444383,30.430833333333336,30.43,30.44,0.002886751345949784,86.5,82,88,2.1105794120443364,51.56583333333333,0.1,358.81,98.44752921395911,5.34,2.25,7.87,1.7372234900971877,138.9025,677.0,6.466666666666667,17.75
13,12,10,49.75,49,50,0.4522670168666455,30.325833333333332,30.32,30.33,0.005149286505442907,82.83333333333333,79,87,2.5166114784235845,307.7941666666667,297.39,327.04,8.320915004682575,12.935833333333333,9.0,16.87,2.8172470712747333,735.5316666666666,657.0,6.8,17.75
2,9,15,62.0,61,63,0.42640143271122266,30.435833333333335,30.43,30.44,0.0051492865054451765,75.41666666666667,73,79,2.1514618004482164,48.278333333333336,1.75,140.78,36.75538521664876,6.746666666666666,1.12,10.12,2.4464272032100323,624.1791666666667,750.0,6.116666666666666,18.616666666666667
16,12,12,56.25,52,62,3.8405728739343026,30.253333333333334,30.24,30.26,0.007784989441617264,57.416666666666664,29,78,19.979345395288664,116.065,0.28,217.97,83.43893624572513,10.873333333333333,2.25,27.0,7.635325001516823,861.5491666666667,656.0,6.833333333333333,17.766666666666666
3,12,11,45.0,45,45,0.0,30.325833333333332,30.32,30.33,0.005149286505443385,93.0,93,93,0.0,312.38,289.47,323.1,11.713421982727937,5.059166666666667,1.12,9.0,2.063771738317683,175.29250000000002,661.0,6.7,17.716666666666665
25,9,9,63.0,63,63,0.0,30.49416666666667,30.49,30.5,0.005149286505445473,26.583333333333332,25,30,1.2401124093721456,52.92916666666667,4.62,89.87,30.570916499281804,5.34,1.12,10.12,2.40487005885973,767.4916666666667,724.0,6.2,18.266666666666666
5,9,16,58.666666666666664,56,60,1.2309149097933263,30.399999999999995,30.4,30.4,0.0,91.25,89,95,1.8153386861559864,285.0808333333333,1.39,358.14,125.97430643214754,5.2475,1.12,9.0,2.8111599838048087,239.4775,747.0,6.133333333333334,18.583333333333332
13,11,12,58.916666666666664,58,59,0.28867513459481403,30.451666666666668,30.44,30.46,0.008348471099366,59.416666666666664,54,65,2.874917653629668,67.83583333333333,3.17,324.11,86.90061569593931,8.06,5.62,11.25,1.5792172975012884,902.6383333333333,674.0,6.5,17.733333333333334
18,12,12,50.666666666666664,48,53,1.6696942198734428,30.374166666666667,30.37,30.38,0.005149286505443752,95.5,93,97,1.5666989036012806,203.3175,2.47,328.4,88.14369189258267,6.3725,3.37,11.25,2.8111599838048096,249.21583333333334,656.0,6.85,17.783333333333335
25,10,15,58.5,57,61,1.5075567228888178,30.4275,30.42,30.43,0.004522670168666437,89.5,81,93,3.9196474795109246,204.93583333333333,0.13,359.91,173.03743759179207,5.435,3.37,9.0,1.8483579936601227,241.26999999999998,691.0,6.35,17.866666666666667
15,12,14,48.833333333333336,48,49,0.38924947208076127,30.21083333333333,30.2,30.22,0.006685579234213456,99.5,98,101,0.9045340337332959,312.59083333333336,290.24,328.38,11.89582467494244,10.873333333333333,6.75,15.75,2.5080790669475723,127.11583333333333,656.0,6.833333333333333,17.766666666666666
