"Day","Month","Hour","Mean_Temperature","Min_Temperature","Max_Temperature","SD_Temperature","Mean_Pressure","Min_Pressure","Max_Pressure","SD_Pressure","Mean_Humidity","Min_Humidity","Max_Humidity","SD_Humidity","Mean_WindDirection","Min_WindDirection","Max_WindDirection","SD_WindDirection","Mean_Speed","Min_Speed","Max_Speed","SD_Speed","Mean_Radiation","SunDurationMinutes"
27,10,6,44.25,44,45,0.452267016866645,30.3975,30.39,30.4,0.00452267016866555,77.1666666666667,63,85,5.32290647422377,153.006666666667,122.83,191.44,16.5941283883697,7.87333333333333,2.25,12.37,2.44475443397169,15.4458333333333,689
12,11,8,56.3333333333333,55,58,1.23091490979333,30.4883333333333,30.48,30.49,0.00389249472080684,63.0833333333333,56,67,3.98767039153378,62.9208333333333,15.64,117.48,29.3217094436353,4.21666666666667,2.25,6.75,1.367268899092,449.0175,674
25,9,9,63,63,63,0,30.4941666666667,30.49,30.5,0.00514928650544518,26.5833333333333,25,30,1.24011240937215,52.9291666666667,4.62,89.87,30.5709164992818,5.34,1.12,10.12,2.40487005885973,767.491666666667,724
17,11,10,59.8333333333333,58,62,1.33711584684304,30.4575,30.45,30.47,0.00621581560508093,21,20,22,0.738548945875996,92.3891666666667,5.04,359.93,100.376467222002,5.5275,1.12,10.12,2.22287743497231,759.916666666667,671
17,9,8,55.3333333333333,55,56,0.492365963917331,30.4841666666667,30.48,30.49,0.00514928650544335,101,101,101,0,78.6691666666667,10.33,137.7,36.1603264411887,6.655,2.25,11.25,2.51341672556774,292.925,734
11,9,12,60.5,59,62,0.797724035217466,30.4783333333333,30.47,30.49,0.00717740562565281,81.0833333333333,80,82,0.792961461098759,34.07,2.78,60.29,18.3321059644251,6.3725,1.12,9,2.72770008015411,420.120833333333,740
13,12,16,50.4166666666667,50,51,0.514928650544437,30.2841666666667,30.28,30.29,0.00514928650544335,94.4166666666667,93,96,1.24011240937215,283.545,266.45,304.16,12.1881443885591,10.2166666666667,7.87,15.75,2.22268606270281,210.378333333333,657
23,10,17,52.1666666666667,50,57,2.16724933890166,30.3925,30.39,30.4,0.00452267016866555,71.4166666666667,46,87,13.0972469927034,114.086666666667,41.35,165.54,31.981010369318,6.55916666666667,3.37,10.12,2.1364944028322,34.4466666666667,694
25,12,15,52.6666666666667,51,53,0.65133894727893,30.4,30.39,30.41,0.00426401432711212,85.6666666666667,79,93,4.24977717775957,79.1025,7.76,235.24,59.778761829843,8.2475,2.25,18,4.99289335865579,465.6425,656
17,9,13,59.75,59,60,0.452267016866645,30.4666666666667,30.46,30.47,0.00492365963917233,90.5,88,93,1.78376517003169,57.7333333333333,13.71,105.26,27.6482984297516,7.02833333333333,3.37,13.5,3.56314680465388,677.174166666667,734
26,12,17,52.3333333333333,51,55,1.23091490979333,30.4433333333333,30.44,30.45,0.00492365963917233,29.5,26,32,2.15322168769582,127.156666666667,59.55,182.75,36.4622680023992,7.21583333333333,3.37,11.25,2.46787158327072,31.1141666666667,656
9,10,11,64.9166666666667,64,65,0.288675134594813,30.4308333333333,30.42,30.44,0.0051492865054445,58,55,60,1.47709789175199,83.6208333333333,0.11,359.93,125.565495655624,4.77916666666667,1.12,9,2.45235122181785,980.445833333333,708
1,11,13,58.25,57,59,0.753778361444409,30.4516666666667,30.44,30.46,0.00717740562565281,39.5,36,45,3.23334895341432,90.8591666666667,22.97,171.42,41.0723681629773,6.84,3.37,12.37,2.89713651732189,484.171666666667,684
12,10,9,58,56,60,1.53741222957161,30.48,30.48,30.48,0,86.0833333333333,77,94,6.55686085275753,84.4583333333333,34.94,128.97,27.3932472877842,5.71583333333333,2.25,10.12,2.3712154855238,699.865,706
1,9,18,56.8888888888889,56,58,0.781735959970572,30.44,30.44,30.44,0,57.7777777777778,54,61,2.22361067735439,112.775555555556,39.39,152.66,35.7044472408939,3.74888888888889,2.25,6.75,1.48855168237825,11.4611111111111,751
2,10,11,57.3333333333333,57,58,0.492365963917331,30.4616666666667,30.46,30.47,0.00389249472080684,96.5833333333333,94,99,2.15146180044822,83.0166666666667,28.81,344.99,85.4732593306588,6.74666666666667,1.12,11.25,2.9581177471596,783.628333333333,716
17,9,16,58.25,57,59,0.753778361444409,30.45,30.45,30.45,0,85.3333333333333,81,90,2.70801280154532,76.2883333333333,41.44,134.84,26.0475417906054,6.84166666666667,3.37,9,1.94646921995762,251.6225,734
10,9,15,55.9166666666667,55,58,0.996204919895622,30.3591666666667,30.35,30.36,0.00288675134594755,95,91,97,1.80906806746658,29.5558333333333,0.87,58.21,18.8800738915799,5.71583333333333,2.25,7.87,1.824188279424,249.621666666667,741
29,9,6,47.0833333333333,47,48,0.288675134594813,30.4158333333333,30.41,30.42,0.00514928650544518,57.25,51,62,3.67114052131933,183.801666666667,157.11,193.99,10.5382419038586,8.1525,6.75,10.12,1.08514871205413,10.8408333333333,720
28,10,12,49.8333333333333,49,50,0.389249472080761,30.4008333333333,30.39,30.41,0.0051492865054445,101,101,101,0,77.3791666666667,6.13,336.54,92.6888826773184,4.49833333333333,1.12,11.25,2.79784928222744,600.265,689
24,11,6,43.5,42,45,1.16774841624228,30.4575,30.45,30.47,0.00621581560508093,86.4166666666667,64,98,12.8590847499369,149.010833333333,108.79,174.39,20.3369866626094,7.965,1.12,12.37,3.01375483107339,6.02166666666667,665
20,11,17,49.4166666666667,48,50,0.668557923421521,30.4033333333333,30.4,30.41,0.00492365963917408,102,102,102,0,84.8333333333333,0.12,321.11,96.4194957967369,5.155,2.25,9,2.00351736158732,24.9491666666667,668
22,10,9,49.9166666666667,49,51,0.792961461098759,30.42,30.42,30.42,0,102.083333333333,102,103,0.288675134594813,105.869166666667,67.75,144.27,29.1451091977971,5.52833333333333,2.25,9,1.82386120551145,556.918333333333,694
12,11,17,54.75,54,55,0.452267016866645,30.445,30.44,30.45,0.0052223296786699,77.9166666666667,67,85,6.02205542278976,64.1875,37.44,96.3,19.0013464235851,1.68583333333333,0,3.37,1.22216989098253,21.5775,674
21,12,11,59.25,59,60,0.452267016866645,30.4416666666667,30.44,30.45,0.00389249472080684,42.5,38,49,3.72948936304837,81.74,14.28,358.44,92.0804806084922,4.965,3.37,7.87,1.62466500043436,814.969166666667,656
7,9,8,52,52,52,0,30.4416666666667,30.44,30.45,0.00389249472080684,98.1666666666667,96,99,1.02985730108887,111.2775,27.69,348.51,108.62519640112,4.0275,1.12,7.87,1.6241928065126,328.543333333333,745
28,11,8,54.4166666666667,48,58,3.47610893576904,30.4608333333333,30.46,30.47,0.00288675134594755,23.9166666666667,18,48,8.57542295096159,133.224166666667,106.96,200.46,28.2877777842251,8.06083333333333,2.25,12.37,3.64729902140134,410.825833333333,663
15,10,16,65.75,65,66,0.452267016866645,30.47,30.47,30.47,0,38.5,26,57,11.6423990030171,66.5808333333333,16.65,336.45,86.8332413787101,4.49833333333333,1.12,9,2.03620785388978,362.4,702
3,10,13,54,54,54,0,30.4318181818182,30.43,30.44,0.00404519917478008,101,101,101,0,62.9609090909091,18.88,96.22,26.6911354028057,6.74818181818182,2.25,13.5,3.18233504892812,338.227272727273,715
24,12,15,57.0833333333333,57,58,0.288675134594813,30.41,30.41,30.41,0,66,61,71,3.30289129537908,111.953333333333,23.26,357.34,115.952309815351,7.12166666666667,2.25,12.37,3.56756304227494,530.5725,656
25,12,14,54.4166666666667,53,56,0.90033663737852,30.4108333333333,30.4,30.42,0.00514928650544518,82,70,87,5.08115949544804,154.663333333333,14.87,359.36,150.524423347982,6.65416666666667,2.25,13.5,3.60478585502746,721.141666666667,656
24,9,6,49,49,49,0,30.4508333333333,30.44,30.46,0.0051492865054445,93.5833333333333,93,95,0.668557923421521,176.045,171.42,179.74,2.52100809562005,5.435,2.25,7.87,1.84725102886326,15.2841666666667,725
11,11,10,62.3333333333333,62,63,0.492365963917331,30.5208333333333,30.52,30.53,0.00288675134594858,25.6666666666667,23,30,2.34843597212092,60.8108333333333,3.91,359.45,95.3112378624829,5.99666666666667,1.12,9,2.5993892056451,794.069166666667,675
2,10,9,55.3333333333333,54,57,0.887625364598595,30.4766666666667,30.47,30.48,0.00492365963917408,95.6666666666667,93,97,1.30267789455786,85.1275,26.5,152.32,38.7124185207702,6.27916666666667,1.12,11.25,2.69071284347858,565.54,716
22,10,17,49.5,48,51,1.31425748134554,30.3958333333333,30.39,30.4,0.00514928650544335,88.0833333333333,86,93,2.31431644466797,122.468333333333,69.86,179.24,32.8606282331727,6.56,2.25,15.75,4.03792475953136,89.8883333333333,694
24,10,14,56.6666666666667,56,57,0.492365963917331,30.42,30.42,30.42,0,78.5833333333333,75,83,2.15146180044822,58.6091666666667,3.88,165.2,44.8104033087962,9.27916666666667,3.37,15.75,3.71965652943517,757.02,692
4,10,7,50.8333333333333,50,52,0.834847109936722,30.4391666666667,30.43,30.45,0.0051492865054445,95.3333333333333,94,97,1.15470053837925,181.8725,146.12,314.99,55.9262825065282,2.43583333333333,0,4.5,1.34284946921451,106.57,714
23,11,17,46.25,45,47,0.621581560508061,30.4233333333333,30.42,30.43,0.00492365963917233,81.75,73,91,6.75715109414396,137.155833333333,101.74,175.45,19.6912848550425,6.84083333333333,3.37,12.37,2.77503958475725,28.2175,666
24,9,16,59.0833333333333,57,61,1.37895436890245,30.4408333333333,30.44,30.45,0.00288675134594755,91.25,87,95,3.19445542378438,52.97,0.3,348.83,94.0177953175017,3.74916666666667,2.25,6.75,1.54158394536466,98.5191666666667,725
