Day,Month,Hour,Temperature_mean,Temperature_min,Temperature_max,Temperature_std,Pressure_mean,Pressure_min,Pressure_max,Pressure_std,Humidity_mean,Humidity_min,Humidity_max,Humidity_std,WindDirection_mean,WindDirection_min,WindDirection_max,WindDirection_std,Speed_mean,Speed_min,Speed_max,Speed_std,Radiation_mean,SunDurationMinutes_mean,TimeSunRise_first,Proportion_Of_Day,Hour_Sin,Hour_Cos,Temp_Ratio,Wind_Energy,WindDir_Sin,WindDir_Cos,Humidity_Ratio,Time_To_Noon,Wind_Humidity_Interaction,Temp_Time_Interaction
19,12,8,48.6,48,49,0.5163977794943221,30.516,30.51,30.52,0.0051639777949424,89.4,88,90,0.6992058987801018,141.9,101.31,174.58,23.406424569145777,7.199,4.5,9.0,1.319944864168365,81.231,656.0,6.866666666666667,0.10365853658536581,0.8660254037844387,-0.49999999999999983,0.9918367346938776,51.825601,0.6170358751407486,-0.7869350219613372,0.9933333333333334,4.333333333333334,643.5906,5.037804878048778
19,12,9,51.72727272727273,50,54,1.420627262226731,30.526363636363637,30.52,30.54,0.0067419986246327,85.36363636363636,83,88,1.689540012709212,153.61818181818182,125.81,172.28,11.70619564007182,8.178181818181818,4.5,12.37,1.9533551555301871,207.08272727272723,656.0,6.866666666666667,0.19512195121951215,0.7071067811865476,-0.7071067811865475,0.9579124579124579,66.88265785123966,0.4443509182684133,-0.8958528123715513,0.9700413223140495,3.333333333333334,698.1193388429751,10.09312638580931
19,12,10,55.8,54,57,1.0327955589886444,30.533,30.52,30.54,0.006749485577105,78.9,76,82,2.28278582243519,149.166,107.51,178.69,19.799099418351787,4.836,2.25,9.0,2.432630948856265,321.19,656.0,6.866666666666667,0.2865853658536585,0.49999999999999994,-0.8660254037844387,0.9789473684210526,23.386896000000004,0.5125524917495484,-0.8586558933596911,0.9621951219512196,2.333333333333334,381.5604000000001,15.991463414634143
19,12,11,55.6,55,57,0.8432740427115677,30.520999999999997,30.51,30.53,0.0056764621219756,78.7,77,80,1.1595018087284057,91.853,36.33,157.62,41.14326353662826,6.072,2.25,18.0,4.779174266195643,383.409,656.0,6.866666666666667,0.3780487804878048,0.258819045102521,-0.9659258262890682,0.9754385964912281,36.869184000000004,0.9994770770240279,-0.03233531356745197,0.98375,1.333333333333334,477.8664,21.019512195121948
19,12,12,58.44444444444444,56,60,1.7400510848184243,30.510000000000005,30.5,30.52,0.0050000000000007,71.22222222222223,61,80,6.942221866552844,158.9077777777778,28.2,336.67,103.61628380445056,4.874444444444445,1.12,9.0,2.3874678590041327,736.2388888888888,656.0,6.866666666666667,0.4695121951219512,1.2246467991473532e-16,-1.0,0.9740740740740741,23.760208641975318,0.359870158385018,-0.9330023950151157,0.8902777777777778,0.3333333333333339,347.16876543209884,27.440379403794037
19,12,13,57.09090909090909,55,59,1.4459976109624406,30.49363636363637,30.49,30.5,0.0050452497910956,85.45454545454545,75,96,8.559949022787885,64.0709090909091,3.09,336.35,93.00153552007036,5.725454545454546,2.25,10.12,2.634548779720594,362.58636363636367,656.0,6.866666666666667,0.5609756097560975,-0.2588190451025208,-0.9659258262890683,0.9676425269645609,32.78082975206612,0.899335884705943,0.4372584664476823,0.8901515151515151,0.6666666666666661,489.26611570247934,32.02660753880266
19,12,14,55.3,55,56,0.4830458915396481,30.49,30.49,30.49,0.0,96.7,95,98,1.3374935098492582,87.562,5.1,138.03,46.19423648513356,4.16,2.25,6.75,1.50613559962058,150.142,656.0,6.866666666666667,0.6524390243902438,-0.4999999999999998,-0.8660254037844388,0.9874999999999999,17.305600000000002,0.9990948373747527,0.04253828782539885,0.9867346938775511,1.666666666666666,402.27200000000005,36.07987804878048
19,12,15,56.666666666666664,55,57,0.7071067811865475,30.488888888888887,30.48,30.49,0.0033333333333326,93.66666666666669,92,95,0.8660254037844374,73.77888888888889,7.95,126.51,41.72433805479856,3.6222222222222222,0.0,5.62,1.757752668734838,399.8166666666667,656.0,6.866666666666667,0.7439024390243902,-0.7071067811865471,-0.7071067811865479,0.9941520467836257,13.120493827160495,0.9601908238778827,0.27934491536577677,0.9859649122807019,2.666666666666666,339.28148148148153,42.15447154471544
19,12,16,57.0,55,59,1.6329931618554523,30.493,30.48,30.5,0.006749485577105,92.7,87,97,3.400980250849256,81.70700000000001,47.96,128.08,22.054826153626028,4.61,2.25,6.75,1.346641913963933,183.322,656.0,6.866666666666667,0.8353658536585366,-0.8660254037844384,-0.5000000000000004,0.9661016949152542,21.252100000000002,0.9895434181209911,0.1442353065425568,0.9556701030927836,3.666666666666666,427.34700000000004,47.61585365853659
19,12,17,53.55555555555556,52,55,1.0137937550497038,30.5,30.5,30.5,0.0,94.77777777777776,88,98,3.419714088113864,119.85888888888888,70.88,135.98,22.433065129649822,4.248888888888889,2.25,6.75,1.6671940832162018,22.19,656.0,6.866666666666667,0.9268292682926829,-0.9659258262890683,-0.25881904510252063,0.9737373737373738,18.053056790123456,0.8672542027885317,-0.49786559204832426,0.9671201814058955,4.666666666666666,402.70024691358014,49.636856368563684
20,9,7,52.77777777777778,48,57,3.5276684147527875,30.403333333333332,30.4,30.41,0.0050000000000014,47.666666666666664,32,61,10.012492197250392,104.98888888888888,42.35,149.07,40.211272811378535,3.8722222222222222,1.12,6.75,1.698806770778962,259.9888888888889,730.0,6.183333333333334,0.06712328767123285,0.9659258262890683,-0.25881904510252063,0.9259259259259259,14.994104938271605,0.9659759997315236,-0.2586317226147704,0.7814207650273224,5.2666666666666675,184.57592592592593,3.5426179604261785
20,9,8,59.77777777777778,57,62,1.641476300299351,30.417777777777776,30.41,30.42,0.0044095855184412,42.22222222222222,25,52,8.6136197062817,77.48111111111112,30.89,126.51,32.54558282027088,3.6211111111111114,1.12,7.87,2.1622120874491273,549.9088888888889,730.0,6.183333333333334,0.14931506849315065,0.8660254037844387,-0.49999999999999983,0.96415770609319,13.112445679012348,0.9762245997046507,0.2167614608999823,0.811965811965812,4.2666666666666675,152.89135802469136,8.925722983257229
