"Day","Month","Hour","Temperature_mean","Temperature_min","Temperature_max","Temperature_std","Pressure_mean","Pressure_min","Pressure_max","Pressure_std","Humidity_mean","Humidity_min","Humidity_max","Humidity_std","WindDirection_mean","WindDirection_min","WindDirection_max","WindDirection_std","Speed_mean","Speed_min","Speed_max","Speed_std","Radiation_mean","SunDurationMinutes_mean","TimeSunRise_first","TimeSunSet_first","Proportion_Of_Day","Hour_Sin","Hour_Cos","Temp_Amplitude","Temp_Ratio","Wind_Energy","WindDir_Sin","WindDir_Cos","Humidity_Ratio","Time_To_Noon","Wind_Humidity_Interaction","Temp_Time_Interaction"
25,10,7,49.5833333333333,48,52,1.16450015288131,30.4633333333333,30.46,30.47,0.00492365963917249,54.5833333333333,52,57,1.24011240937215,206.5075,190.46,210.83,5.15762652424896,3.3725,1.12,5.62,1.26917385441368,164.6675,691,6.35,17.8666666666667,0.0564399421128799,0.965925826289068,-0.258819045102521,4,0.953525641025641,11.37375625,-0.446314955920729,-0.894875946777808,0.957602339181287,5.10833333333333,184.082291666667,2.79848046309696
25,10,8,58.1818181818182,53,61,2.67649703224875,30.4790909090909,30.47,30.49,0.00539359889970616,42.3636363636364,38,53,4.71747235864138,174.955454545455,29.69,349.52,96.8260904264585,1.12272727272727,0,3.37,1.12400258815619,493.980909090909,691,6.35,17.8666666666667,0.143270622286541,0.866025403784439,-0.5,8,0.953800298062593,1.26051652892562,0.0879302226890639,-0.996126636496511,0.799313893653516,4.10833333333333,47.5628099173554,8.33574529667149
25,10,9,61.3,61,62,0.483045891539648,30.49,30.49,30.49,0,45.6,39,52,4.92612085384298,36.29,3.2,66.12,20.1903788968905,3.711,1.12,7.87,2.05643947961843,697.676,691,6.35,17.8666666666667,0.230101302460203,0.707106781186548,-0.707106781186547,1,0.988709677419355,13.771521,0.591872508762456,0.806031595764854,0.876923076923077,3.10833333333333,169.2216,14.1052098408104
25,10,10,64,63,65,0.86602540378444,30.49,30.49,30.49,0,38.5555555555556,34,45,4.33333333333333,272.991111111111,0.11,359.92,154.969865574282,4.37333333333333,2.25,9,2.48001512092164,860.264444444445,691,6.35,17.8666666666667,0.316931982633864,0.5,-0.866025403784439,2,0.984615384615385,19.1260444444444,-0.998637642156798,0.0521810278502817,0.85679012345679,2.10833333333333,168.616296296296,20.2836468885673
25,10,11,63,62,64,0.755928946018455,30.47625,30.47,30.48,0.00517549169506814,56.5,51,63,3.77964473009227,175.22625,0.12,347.33,177.346896137606,4.4975,2.25,6.75,1.9015989512588,947.815,691,6.35,17.8666666666667,0.403762662807525,0.258819045102521,-0.965925826289068,2,0.984375,20.22750625,0.083221292430408,-0.996531091580294,0.896825396825397,1.10833333333333,254.10875,25.4370477568741
25,10,12,63.875,63,65,0.640869944461655,30.46,30.45,30.47,0.00755928946018428,61.625,60,64,1.59798980865693,193.175,0.11,359.92,164.933335450591,6.18625,2.25,9,2.24892950724815,956.68,691,6.35,17.8666666666667,0.490593342981187,1.22460635382238e-16,-1,2,0.982692307692308,38.2696890625,-0.227926044452166,-0.973678447055489,0.962890625,0.108333333333333,381.22765625,31.3366497829233
25,10,13,64.6,64,66,0.699205898780101,30.443,30.44,30.45,0.0048304589153956,64.6,59,70,3.83550663030467,116.003,0.12,359.91,162.210450961432,6.522,2.25,12.37,3.03619937860916,916.619,691,6.35,17.8666666666667,0.577424023154848,-0.258819045102521,-0.965925826289068,2,0.978787878787879,42.536484,0.898771092007558,-0.438418206934362,0.922857142857143,0.891666666666667,421.3212,37.3015918958032
25,10,14,63.7142857142857,62,64,0.755928946018454,30.4342857142857,30.43,30.44,0.00534522483824971,69.2857142857143,66,80,4.85504156227612,287.581428571429,34.08,359.91,113.067819829306,8.03285714285714,5.62,11.25,2.38196497515332,593.734285714286,691,6.35,17.8666666666667,0.664254703328509,-0.5,-0.866025403784439,2,0.995535714285714,64.526793877551,-0.953288625650611,0.302060914726102,0.866071428571429,1.89166666666667,556.562244897959,42.3225139549307
25,10,15,58.5,57,61,1.4142135623731,30.4275,30.42,30.43,0.00462910049886128,89.875,84,93,3.13676357322093,225.0175,0.13,359.91,174.768180721941,5.2,3.37,7.87,1.79868999949566,227.66,691,6.35,17.8666666666667,0.751085383502171,-0.707106781186547,-0.707106781186548,4,0.959016393442623,27.04,-0.707322721676678,-0.706890774731073,0.966397849462366,2.89166666666667,467.35,43.938494934877
25,10,16,58.8181818181818,57,60,1.07871977994119,30.4227272727273,30.42,30.43,0.00467099366496837,86.9090909090909,82,93,3.75378596764774,191.582727272727,5.32,359.93,169.888256044431,3.67818181818182,1.12,5.62,1.51776031165542,297.295454545455,691,6.35,17.8666666666667,0.837916063675832,-0.866025403784438,-0.5,3,0.98030303030303,13.5290214876033,-0.200782603418598,-0.979635823234558,0.934506353861193,3.89166666666667,319.667438016529,49.2846993816603
25,10,17,54.8181818181818,54,56,0.750757193529549,30.43,30.43,30.43,0,95.2727272727273,94,96,0.786245393106895,152.44,0.1,333.71,173.319532944213,1.83818181818182,1.12,4.5,1.04203472285542,39.0890909090909,691,6.35,17.8666666666667,0.924746743849493,-0.965925826289068,-0.258819045102521,2,0.978896103896104,3.37891239669421,0.462677235455667,-0.886526804891483,0.992424242424242,4.89166666666667,175.128595041322,50.6929351401131
25,11,7,46.3333333333333,45,47,0.707106781186547,30.4844444444444,30.48,30.49,0.00527046276694613,101.666666666667,101,102,0.5,125.985555555556,6.07,359.92,99.6936382262067,5.74777777777778,2.25,10.12,2.6649942672442,61.4355555555556,665,6.61666666666667,17.7,0.0345864661654135,0.965925826289068,-0.258819045102521,2,0.98581560283688,33.0369493827161,0.809165151157014,-0.587581277912296,0.996732026143791,5.15833333333333,584.357407407407,1.60250626566416
25,11,8,45.4444444444444,45,46,0.52704627669473,30.4911111111111,30.49,30.5,0.00333333333333388,102,102,102,0,117.611111111111,91.41,179.24,25.2010145849549,8.12222222222222,2.25,12.37,3.26855387663175,173.1,665,6.61666666666667,17.7,0.124812030075188,0.866025403784439,-0.5,1,0.98792270531401,65.9704938271605,0.886113717665518,-0.463467883854961,1,4.15833333333333,828.466666666667,5.67201336675021
25,11,9,47,46,48,0.666666666666668,30.5,30.5,30.5,0,102,102,102,0,123.785,11.02,200.6,60.4321800312825,8.66,4.5,14.62,3.89851823702858,271.363,665,6.61666666666667,17.7,0.215037593984962,0.707106781186548,-0.707106781186547,2,0.979166666666667,74.9956,0.831130078646849,-0.556078045213513,1,3.15833333333333,883.32,10.1067669172932
25,11,10,47,46,48,0.5,30.4933333333333,30.49,30.5,0.00500000000000017,102,102,102,0,112.734444444444,70.67,158.25,30.0637660278578,9.24666666666667,3.37,16.87,4.73278195145308,339.275555555556,665,6.61666666666667,17.7,0.305263157894737,0.5,-0.866025403784439,2,0.979166666666667,85.5008444444444,0.922305928029803,-0.386460573824917,1,2.15833333333333,943.16,14.3473684210526
25,11,11,47.1818181818182,46,48,0.603022689155527,30.4809090909091,30.47,30.49,0.00700649049745299,100.818181818182,99,102,0.750757193529549,93.8263636363636,1.82,153.34,43.2239061799665,9.30363636363636,5.62,13.5,2.80671791502913,505.880909090909,665,6.61666666666667,17.7,0.395488721804511,0.258819045102521,-0.965925826289068,2,0.982954545454545,86.5576495867769,0.997770867905625,-0.0667330140099741,0.988413547237077,1.15833333333333,937.975702479339,18.6598769651401
25,11,14,50.5555555555556,50,52,0.726483157256779,30.43,30.43,30.43,0,77.1111111111111,61,87,10.1666666666667,89.9366666666667,13.86,148.14,37.5606226652328,8.37333333333333,2.25,12.37,3.28469557189095,711.274444444444,665,6.61666666666667,17.7,0.666165413533835,-0.5,-0.866025403784439,2,0.972222222222222,70.1127111111111,0.999999389072904,0.00110537496782836,0.886334610472542,1.84166666666667,645.677037037037,33.6783625730994
25,11,15,52.6666666666667,52,53,0.5,30.43,30.43,30.43,0,70.2222222222222,59,82,7.96520209689901,137.902222222222,80.95,255.12,51.3178667175911,5.37111111111111,3.37,7.87,1.46463685298135,496.136666666667,665,6.61666666666667,17.7,0.756390977443609,-0.707106781186547,-0.707106781186548,1,0.993710691823899,28.8488345679012,0.67039784085145,-0.742001842977303,0.856368563685637,2.84166666666667,377.171358024691,39.8365914786967
25,11,16,49.7,48,52,1.15950180872841,30.437,30.43,30.44,0.00483045891539731,94.4,87,97,3.27278338896895,117.471,77.26,188.74,36.6821932126323,7.534,3.37,12.37,3.22841963402116,176.913,665,6.61666666666667,17.7,0.846616541353383,-0.866025403784438,-0.5,4,0.955769230769231,56.761156,0.887244431524493,-0.461299597581419,0.97319587628866,3.84166666666667,711.2096,42.0768421052632
25,11,17,47.4285714285714,47,48,0.534522483824847,30.4414285714286,30.44,30.45,0.00377964473009242,93.1428571428571,86,98,5.08030745226348,137.864285714286,99.5,181.89,30.7075055196298,8.67714285714286,2.25,14.62,4.43751324612376,39.0785714285714,665,6.61666666666667,17.7,0.936842105263158,-0.965925826289068,-0.258819045102521,1,0.988095238095238,75.2928081632653,0.670888985876882,-0.741557798576138,0.950437317784257,4.84166666666667,808.21387755102,44.4330827067669
25,12,7,46.5,45,47,0.707106781186548,30.45,30.45,30.45,0,98.8,97,100,1.22927259430572,134.025,21.77,207.03,46.5428204870406,11.698,4.5,18,4.34735628476281,45.097,656,6.91666666666667,17.85,0.00762195121951217,0.965925826289068,-0.258819045102521,2,0.98936170212766,136.843204,0.719036629978671,-0.694972175521377,0.988,5.38333333333333,1155.7624,0.354420731707316
25,12,8,47.1111111111111,47,48,0.333333333333334,30.4577777777778,30.45,30.46,0.00440958551844125,100.111111111111,100,101,0.333333333333334,119.586666666667,84.29,150.96,22.8786488893029,13.1222222222222,5.62,18,4.42934187486634,190.85,656,6.91666666666667,17.85,0.0990853658536585,0.866025403784439,-0.5,1,0.981481481481482,172.192716049383,0.869609851452582,-0.493739512553552,0.991199119911991,4.38333333333333,1313.68024691358,4.6680216802168
25,12,9,49.8,49,51,0.632455532033677,30.465,30.46,30.47,0.00527046276694581,99.8,99,100,0.421637021355784,120.381,15.03,336.82,89.9955394511923,9.559,4.5,19.12,4.63097649889668,435.834,656,6.91666666666667,17.85,0.190548780487805,0.707106781186548,-0.707106781186547,2,0.976470588235294,91.374481,0.862681428931103,-0.505747715938876,0.998,3.38333333333333,953.9882,9.48932926829268
25,12,10,51.4444444444444,51,52,0.527046276694731,30.4677777777778,30.46,30.47,0.00440958551844001,98.6666666666667,97,100,0.866025403784438,95.53,45.88,183.19,42.1073877128468,9.74888888888889,2.25,18,5.53964449320632,646.027777777778,656,6.91666666666667,17.85,0.282012195121951,0.5,-0.866025403784439,1,0.989316239316239,95.0408345679013,0.995345877204049,-0.0963669275887816,0.986666666666667,2.38333333333333,961.890370370371,14.507960704607
25,12,11,52.4444444444444,51,54,0.881917103688196,30.4555555555556,30.45,30.46,0.0052704627669482,95.8888888888889,91,98,2.42097317438899,107.817777777778,23.94,301.48,83.4980185060966,7.99666666666667,2.25,13.5,3.53330227973775,682.862222222222,656,6.91666666666667,17.85,0.373475609756098,0.258819045102521,-0.965925826289068,3,0.97119341563786,63.9466777777778,0.952034495540636,-0.305990717670792,0.978458049886621,1.38333333333333,766.791481481481,19.5867208672087
25,12,13,54.4444444444444,53,55,0.726483157256779,30.4211111111111,30.41,30.43,0.00600925212577449,83.3333333333333,79,90,3.60555127546399,84.6455555555555,17.89,294.49,85.1476278458641,9.12222222222222,4.5,13.5,2.89347445892381,818.387777777778,656,6.91666666666667,17.85,0.55640243902439,-0.258819045102521,-0.965925826289068,2,0.98989898989899,83.2149382716049,0.995636474906836,0.093316717875684,0.925925925925926,0.616666666666666,760.185185185185,30.2930216802168
25,12,14,54.5,53,56,0.97182531580755,30.41,30.4,30.42,0.00471404520791181,81.6,70,87,5.50151494287407,141.79,14.87,358.79,149.035880019992,6.523,2.25,13.5,3.89008440354019,714.725,656,6.91666666666667,17.85,0.647865853658537,-0.5,-0.866025403784439,3,0.973214285714286,42.549529,0.618545543840313,-0.785748948580455,0.937931034482759,1.61666666666667,532.2768,35.3086890243902
25,12,15,52.6363636363636,51,53,0.674199862463241,30.4,30.39,30.41,0.00447213595500054,86.2727272727273,80,93,3.87532989798054,82.3818181818182,7.76,235.24,61.5540295704809,8.48636363636364,2.25,18,5.16417906879162,463.403636363636,656,6.91666666666667,17.85,0.739329268292683,-0.707106781186547,-0.707106781186548,2,0.993138936535163,72.018367768595,0.991173521081525,0.132570928588633,0.927663734115347,2.61666666666667,732.14173553719,38.9156042128603
25,12,16,48.1,47,51,1.44913767461894,30.405,30.4,30.41,0.00527046276694799,95.8,94,97,1.22927259430572,93.943,46.33,143.5,35.0132318004367,7.311,4.5,12.37,2.71678915879266,165.578,656,6.91666666666667,17.85,0.830792682926829,-0.866025403784438,-0.5,4,0.943137254901961,53.450721,0.997632952970912,-0.0687640250897026,0.987628865979381,3.61666666666667,700.3938,39.9611280487805
25,12,17,47.375,47,48,0.517549169506765,30.415,30.41,30.42,0.00534522483824978,94.25,93,96,1.03509833901353,101.835,67.67,130.54,25.9056011593742,6.88625,3.37,14.62,3.47767959380143,60.71,656,6.91666666666667,17.85,0.922256097560975,-0.965925826289068,-0.258819045102521,1,0.986979166666667,47.4204390625,0.978742286604755,-0.205093969710704,0.981770833333333,4.61666666666667,649.0290625,43.6918826219512
26,9,7,49.5555555555556,48,51,1.0137937550497,30.4344444444444,30.43,30.44,0.00527046276694691,92.7777777777778,87,98,3.99304951690365,141.188888888889,110.13,175.55,26.0673308206098,6.49777777777778,4.5,7.87,1.35058115063274,160.891111111111,723,6.2,18.25,0.0663900414937759,0.965925826289068,-0.258819045102521,3,0.971677559912854,42.2211160493827,0.626754933064184,-0.779216435837766,0.946712018140589,5.225,602.849382716049,3.28999538958045
